meter_id,class,parent,phases,nominal_voltage
1,triplex_load,node120B,BS,120.0
2,triplex_load,node120C,CS,120.0
3,triplex_load,node120A,AS,120.0
4,triplex_load,node120B,BS,120.0
5,triplex_load,node120C,CS,120.0
6,triplex_load,node120A,AS,120.0
7,triplex_load,node120B,BS,120.0
8,triplex_load,node120C,CS,120.0
9,triplex_load,node120A,AS,120.0
10,triplex_load,node120B,BS,120.0
11,triplex_load,node120C,CS,120.0
12,triplex_load,node120A,AS,120.0
13,triplex_load,node120B,BS,120.0
14,load,node480,ABC,480.0
15,triplex_load,node120A,AS,120.0
16,load,node480,ABC,480.0
17,triplex_load,node120C,CS,120.0
18,triplex_load,node120A,AS,120.0
19,triplex_load,node120B,BS,120.0
20,load,node480,ABC,480.0
21,triplex_load,node120A,AS,120.0
22,triplex_load,node120B,BS,120.0
23,triplex_load,node120C,CS,120.0
24,triplex_load,node120A,AS,120.0
25,triplex_load,node120B,BS,120.0
26,triplex_load,node120C,CS,120.0
27,triplex_load,node120A,AS,120.0
28,triplex_load,node120B,BS,120.0
29,triplex_load,node120C,CS,120.0
30,triplex_load,node120A,AS,120.0
31,triplex_load,node120B,BS,120.0
32,triplex_load,node120C,CS,120.0
33,triplex_load,node120A,AS,120.0
34,triplex_load,node120B,BS,120.0
35,triplex_load,node120C,CS,120.0
36,triplex_load,node120A,AS,120.0
37,triplex_load,node120B,BS,120.0
38,triplex_load,node120C,CS,120.0
39,triplex_load,node120A,AS,120.0
40,triplex_load,node120B,BS,120.0
41,triplex_load,node120C,CS,120.0
42,triplex_load,node120A,AS,120.0
43,triplex_load,node120B,BS,120.0
44,triplex_load,node120C,CS,120.0
45,triplex_load,node120A,AS,120.0
46,triplex_load,node120B,BS,120.0
47,triplex_load,node120C,CS,120.0
48,triplex_load,node120A,AS,120.0
49,triplex_load,node120B,BS,120.0
50,triplex_load,node120C,CS,120.0
51,triplex_load,node120A,AS,120.0
52,triplex_load,node120B,BS,120.0
53,triplex_load,node120C,CS,120.0
54,triplex_load,node120A,AS,120.0
55,triplex_load,node120B,BS,120.0
56,triplex_load,node120C,CS,120.0
